31-03-2026 20:42:03 | GET | cafeteria_api/produtos
31-03-2026 20:42:04 | GET | cafeteria_api/categorias
31-03-2026 20:42:19 | GET | cafeteria_api/produtos
31-03-2026 20:42:21 | GET | cafeteria_api/categorias
31-03-2026 20:43:19 | GET | cafeteria_api/produtos
31-03-2026 20:43:20 | GET | cafeteria_api/categorias
31-03-2026 20:43:23 | GET | cafeteria_api/produtos
31-03-2026 20:46:20 | GET | cafeteria_api/produtos
31-03-2026 20:46:20 | GET | cafeteria_api/produtos
31-03-2026 20:46:24 | GET | cafeteria_api/produtos
31-03-2026 20:47:06 | GET | cafeteria_api/produtos
31-03-2026 20:47:06 | GET | cafeteria_api/produtos
31-03-2026 20:47:07 | GET | cafeteria_api/categorias
31-03-2026 20:47:36 | GET | cafeteria_api/produtos
07-04-2026 12:37:00 | GET | cafeteria_api/categorias
07-04-2026 12:37:46 | GET | cafeteria_api/categorias
07-04-2026 12:37:49 | GET | cafeteria_api/categorias
07-04-2026 12:37:49 | GET | cafeteria_api/categorias
07-04-2026 12:37:50 | GET | cafeteria_api/categorias
07-04-2026 12:37:50 | GET | cafeteria_api/categorias
07-04-2026 12:37:50 | GET | cafeteria_api/categorias
07-04-2026 12:37:50 | GET | cafeteria_api/categorias
07-04-2026 12:37:50 | GET | cafeteria_api/categorias
07-04-2026 12:37:51 | GET | cafeteria_api/categorias
07-04-2026 12:37:51 | GET | cafeteria_api/categorias
07-04-2026 12:38:05 | GET | cafeteria_api/categorias
07-04-2026 12:38:07 | GET | cafeteria_api/categorias
07-04-2026 12:39:10 | GET | cafeteria_api/categorias
07-04-2026 12:39:27 | GET | cafeteria_api/categorias
07-04-2026 12:39:28 | GET | cafeteria_api/categorias
07-04-2026 12:39:29 | GET | cafeteria_api/categorias
07-04-2026 12:39:30 | GET | cafeteria_api/produtos
07-04-2026 12:39:31 | GET | cafeteria_api/categorias
07-04-2026 12:39:32 | GET | cafeteria_api/produtos
07-04-2026 12:39:34 | GET | cafeteria_api/produtos
07-04-2026 12:40:22 | GET | cafeteria_api/produtos
07-04-2026 12:40:31 | GET | cafeteria_api/produtos
07-04-2026 12:40:32 | GET | cafeteria_api/produtos
07-04-2026 12:40:52 | GET | cafeteria_api/produtos
07-04-2026 12:40:53 | GET | cafeteria_api/produtos
07-04-2026 12:40:54 | GET | cafeteria_api/produtos
07-04-2026 12:40:54 | GET | cafeteria_api/produtos
07-04-2026 12:40:56 | GET | cafeteria_api/categorias
07-04-2026 12:40:57 | GET | cafeteria_api/produtos
07-04-2026 12:40:57 | GET | cafeteria_api/categorias
07-04-2026 12:40:58 | GET | cafeteria_api/produtos
07-04-2026 12:41:02 | GET | cafeteria_api/produtos
07-04-2026 12:41:02 | GET | cafeteria_api/categorias
07-04-2026 12:41:04 | GET | cafeteria_api/produtos
07-04-2026 12:41:05 | GET | cafeteria_api/categorias
07-04-2026 12:41:06 | GET | cafeteria_api/categorias
07-04-2026 12:41:06 | GET | cafeteria_api/categorias
07-04-2026 12:41:06 | GET | cafeteria_api/categorias
07-04-2026 12:41:06 | GET | cafeteria_api/categorias
07-04-2026 12:41:06 | GET | cafeteria_api/categorias
07-04-2026 12:41:18 | GET | cafeteria_api/categorias
07-04-2026 12:41:21 | GET | cafeteria_api/categorias
07-04-2026 12:41:31 | GET | cafeteria_api/produtos
07-04-2026 12:47:20 | GET | cafeteria_api/produtos
07-04-2026 12:49:48 | GET | cafeteria_api/produtos
07-04-2026 12:49:48 | GET | cafeteria_api/produtos
07-04-2026 12:50:27 | GET | cafeteria_api/produtos
07-04-2026 12:50:31 | GET | cafeteria_api/produtos
